Date,Open,High,Low,Close,Adj Close,Volume
2005-10-01,480000.000000,484000.000000,452000.000000,462500.000000,238662.906250,44378
2005-11-01,462000.000000,486000.000000,459500.000000,482000.000000,248725.515625,36006
2005-12-01,477500.000000,505000.000000,462500.000000,497500.000000,256723.968750,47390
2006-01-01,497500.000000,525000.000000,495000.000000,520000.000000,273006.906250,44074
2006-02-01,520000.000000,585000.000000,510000.000000,560000.000000,294007.500000,51934
2006-03-01,550000.000000,565000.000000,515000.000000,545000.000000,286132.281250,115538
2006-04-01,545000.000000,555000.000000,520000.000000,540000.000000,283507.250000,74134
2006-05-01,540000.000000,585000.000000,535000.000000,575000.000000,301882.687500,63518
2006-06-01,575000.000000,580000.000000,500000.000000,555000.000000,291382.437500,110914
2006-07-01,560000.000000,580000.000000,530000.000000,565000.000000,302005.187500,52934
2006-08-01,565000.000000,590000.000000,560000.000000,575000.000000,307350.406250,64892
2006-09-01,570000.000000,635000.000000,570000.000000,600000.000000,320713.468750,115444
2006-10-01,605000.000000,650000.000000,595000.000000,630000.000000,336749.031250,68028
2006-11-01,625000.000000,715000.000000,620000.000000,710000.000000,379510.875000,65566
2006-12-01,705000.000000,790000.000000,695000.000000,790000.000000,422272.750000,80746
2007-01-01,790000.000000,930000.000000,765000.000000,895000.000000,484445.125000,104922
2007-02-01,895000.000000,995000.000000,850000.000000,860000.000000,465500.218750,117706
2007-03-01,875000.000000,990000.000000,805000.000000,975000.000000,527747.375000,111926
2007-04-01,965000.000000,975000.000000,885000.000000,970000.000000,525040.937500,81194
2007-05-01,960000.000000,1010000.000000,960000.000000,985000.000000,533160.125000,84820
2007-06-01,985000.000000,990000.000000,825000.000000,855000.000000,462793.781250,152692
2007-07-01,865000.000000,900000.000000,2690.000000,790000.000000,432506.468750,777058
2007-08-01,805000.000000,850000.000000,615000.000000,745000.000000,407870.031250,139796
2007-09-01,765000.000000,860000.000000,670000.000000,835000.000000,457142.843750,114282
2007-10-01,835000.000000,850000.000000,735000.000000,830000.000000,454405.312500,98534
2007-11-01,830000.000000,830000.000000,760000.000000,795000.000000,435243.937500,67350
2007-12-01,796034.000000,845000.000000,750000.000000,785000.000000,429769.062500,99944
2008-01-01,785000.000000,785000.000000,599100.000000,615000.000000,341128.031250,165680
2008-02-01,620000.000000,690000.000000,604510.500000,650000.000000,360541.781250,127010
2008-03-01,650000.000000,650000.000000,525157.500000,630000.000000,349448.156250,71048
2008-04-01,630567.000000,690000.000000,630000.000000,680000.000000,377182.312500,105898
2008-05-01,680000.000000,725000.000000,645000.000000,700000.000000,388275.781250,72788
2008-06-01,702275.500000,702275.500000,615000.000000,625000.000000,346674.843750,50264
2008-07-01,629375.000000,668325.000000,615000.000000,640000.000000,361212.625000,59896
2008-08-01,640958.500000,654500.000000,557500.000000,594000.000000,335250.406250,51282
2008-09-01,595187.500000,595187.500000,501000.000000,501000.000000,282761.718750,86240
2008-10-01,503004.000000,524500.000000,344500.000000,465000.000000,262443.468750,128524
2008-11-01,468000.000000,500329.000000,388500.000000,472500.000000,266676.500000,123918
2008-12-01,433780.500000,504500.000000,412463.500000,489000.000000,275989.000000,120074
2009-01-01,489000.000000,499000.000000,416000.000000,489000.000000,282510.156250,98848
2009-02-01,478500.000000,479000.000000,373000.000000,400000.000000,231092.125000,83386
2009-03-01,403800.000000,464000.000000,369500.000000,423000.000000,244380.031250,89534
2009-04-01,422500.000000,428500.000000,388500.000000,399500.000000,230803.343750,77812
2009-05-01,399774.500000,421260.000000,376580.000000,420000.000000,242646.828125,104214
2009-06-01,421555.500000,432500.000000,397500.000000,413000.000000,238602.625000,104160
2009-07-01,410000.000000,447000.000000,402000.000000,425000.000000,252284.156250,89330
2009-08-01,426500.000000,448500.000000,403500.000000,410000.000000,243380.046875,76762
2009-09-01,410500.000000,421500.000000,385000.000000,400500.000000,237740.765625,69200
2009-10-01,401000.000000,401000.000000,359000.000000,373500.000000,221713.281250,66572
2009-11-01,375000.000000,392500.000000,338000.000000,351000.000000,208357.046875,61306
2009-12-01,347500.000000,365500.000000,344000.000000,353000.000000,209544.296875,78650
2010-01-01,353000.000000,410500.000000,352000.000000,399000.000000,243400.562500,78148
2010-02-01,400500.000000,405500.000000,375000.000000,393500.000000,240045.343750,61146
2010-03-01,392000.000000,405000.000000,379000.000000,401000.000000,244620.625000,69298
2010-04-01,397500.000000,405000.000000,382000.000000,394000.000000,240350.359375,59944
2010-05-01,396000.000000,399500.000000,352000.000000,369000.000000,225099.718750,59958
2010-06-01,371000.000000,384500.000000,343000.000000,352000.000000,214729.234375,52080
2010-07-01,352000.000000,378500.000000,349000.000000,368000.000000,229728.156250,44306
2010-08-01,372500.000000,379000.000000,349000.000000,356000.000000,222237.046875,46552
2010-09-01,359500.000000,434000.000000,356000.000000,365500.000000,228167.531250,52570
2010-10-01,366000.000000,415000.000000,365500.000000,394000.000000,245958.906250,95462
2010-11-01,399000.000000,423000.000000,396000.000000,408500.000000,255010.812500,73014
2010-12-01,408000.000000,428500.000000,404500.000000,416500.000000,260004.843750,89880
2011-01-01,416500.000000,432500.000000,404000.000000,430000.000000,273428.562500,137574
2011-02-01,429000.000000,436500.000000,369500.000000,428500.000000,272474.750000,71008
2011-03-01,429000.000000,430500.000000,330000.000000,405000.000000,257531.468750,107832
2011-04-01,404000.000000,416000.000000,398500.000000,407500.000000,259121.312500,51614
2011-05-01,411500.000000,418000.000000,404500.000000,415500.000000,264208.312500,47512
2011-06-01,411000.000000,412000.000000,392500.000000,393000.000000,249900.984375,46034
2011-07-01,397500.000000,400500.000000,383000.000000,394500.000000,255674.750000,36772
2011-08-01,394000.000000,418500.000000,375000.000000,411000.000000,266368.375000,74852
2011-09-01,412000.000000,415500.000000,392500.000000,399500.000000,258915.328125,52636
2011-10-01,400500.000000,412500.000000,366000.000000,379500.000000,245953.265625,57778
2011-11-01,381000.000000,386000.000000,332000.000000,355000.000000,230074.859375,45864
2011-12-01,362500.000000,368500.000000,307000.000000,315000.000000,204150.906250,61160
2012-01-01,315000.000000,348500.000000,313500.000000,342000.000000,226866.468750,126208
2012-02-01,340000.000000,389500.000000,330000.000000,389500.000000,258375.703125,81044
2012-03-01,389000.000000,406000.000000,374500.000000,393000.000000,260697.484375,70112
2012-04-01,388500.000000,395000.000000,370500.000000,380500.000000,252405.562500,56172
2012-05-01,383000.000000,383000.000000,339500.000000,357500.000000,237148.437500,73470
2012-06-01,355500.000000,389000.000000,338500.000000,385500.000000,255722.265625,83502
2012-07-01,390500.000000,393500.000000,367500.000000,378960.500000,256632.234375,57696
2012-08-01,382000.000000,403000.000000,376500.000000,396000.000000,268171.375000,54890
2012-09-01,399500.000000,422000.000000,391500.000000,420500.000000,284762.750000,56660
2012-10-01,417000.000000,431000.000000,408000.000000,428500.000000,290180.437500,73192
2012-11-01,430500.000000,444500.000000,422500.000000,431500.000000,292212.000000,58914
2012-12-01,433000.000000,455000.000000,422500.000000,446500.000000,302369.968750,67166
2013-01-01,446500.000000,471500.000000,441000.000000,471500.000000,324963.125000,157012
2013-02-01,473000.000000,518500.000000,462500.000000,518500.000000,357356.093750,112964
2013-03-01,525000.000000,680000.000000,525000.000000,650000.000000,447987.406250,150304
2013-04-01,640000.000000,752500.000000,588500.000000,701000.000000,483137.187500,197016
2013-05-01,702500.000000,706000.000000,522500.000000,522500.000000,360112.906250,236976
2013-06-01,525000.000000,574000.000000,491000.000000,574000.000000,395607.250000,142320
2013-07-01,579000.000000,600000.000000,532500.000000,533500.000000,373669.468750,106560
2013-08-01,534000.000000,580000.000000,526500.000000,535000.000000,374719.968750,65238
2013-09-01,534000.000000,634500.000000,534000.000000,610000.000000,427250.875000,97144
2013-10-01,608500.000000,617500.000000,579500.000000,608500.000000,426200.281250,82958
2013-11-01,607000.000000,613000.000000,581000.000000,602000.000000,421647.625000,69546
2013-12-01,603500.000000,622000.000000,568500.000000,612000.000000,428651.718750,77138
2014-01-01,612000.000000,615000.000000,569000.000000,583000.000000,414529.000000,51592
2014-02-01,584000.000000,595000.000000,554000.000000,582000.000000,413818.093750,49254
2014-03-01,572000.000000,581000.000000,519000.000000,539000.000000,383243.875000,82415
2014-04-01,541000.000000,576000.000000,539000.000000,566000.000000,402441.625000,72102
2014-05-01,566000.000000,598000.000000,561000.000000,596000.000000,423772.437500,57399
2014-06-01,597000.000000,603000.000000,579000.000000,592000.000000,420928.281250,67960
2014-07-01,591000.000000,596000.000000,566000.000000,580000.000000,418183.781250,53510
2014-08-01,575000.000000,585000.000000,546000.000000,579000.000000,417462.937500,59503
2014-09-01,576000.000000,578000.000000,549000.000000,577000.000000,416020.843750,50182
2014-10-01,575000.000000,624000.000000,544000.000000,622000.000000,448466.031250,88140
2014-11-01,622000.000000,652000.000000,554000.000000,598000.000000,431162.031250,100476
2014-12-01,601000.000000,612000.000000,582000.000000,604000.000000,435487.937500,81211
2015-01-01,604000.000000,644000.000000,580000.000000,580000.000000,423579.343750,75373
2015-02-01,581000.000000,610000.000000,562000.000000,600000.000000,438185.625000,81613
2015-03-01,601000.000000,616000.000000,553000.000000,590000.000000,430882.531250,97318
2015-04-01,581000.000000,612000.000000,576000.000000,595000.000000,434534.031250,65201
2015-05-01,592000.000000,601000.000000,563000.000000,581000.000000,424309.625000,68657
2015-06-01,581000.000000,596000.000000,536000.000000,536000.000000,391445.781250,85805
2015-07-01,541000.000000,561000.000000,493000.000000,554000.000000,410296.625000,100627
2015-08-01,554000.000000,560000.000000,491000.000000,510000.000000,377709.937500,88150
2015-09-01,516000.000000,584000.000000,498000.000000,579000.000000,428811.875000,102857
2015-10-01,575000.000000,585000.000000,552000.000000,575000.000000,425849.343750,66858
2015-11-01,567000.000000,592000.000000,548000.000000,581000.000000,430292.968750,52466
2015-12-01,584000.000000,595000.000000,556000.000000,577000.000000,427330.656250,67235
2016-01-01,577000.000000,625000.000000,552000.000000,622000.000000,467130.093750,66629
2016-02-01,630000.000000,697000.000000,559000.000000,669000.000000,502427.656250,144006
2016-03-01,669000.000000,708000.000000,642000.000000,667000.000000,500925.656250,106446
2016-04-01,667000.000000,712000.000000,652000.000000,686000.000000,515195.000000,96508
2016-05-01,674000.000000,689000.000000,644000.000000,659000.000000,494917.562500,90403
2016-06-01,659000.000000,663000.000000,597000.000000,633000.000000,475391.343750,105109
2016-07-01,639000.000000,650000.000000,607000.000000,630000.000000,479775.187500,72793
2016-08-01,629000.000000,650000.000000,621000.000000,633000.000000,482059.968750,85837
2016-09-01,633000.000000,660000.000000,618000.000000,641000.000000,488152.281250,60933
2016-10-01,637000.000000,639000.000000,597000.000000,623000.000000,474444.437500,59070
2016-11-01,620000.000000,639000.000000,588000.000000,637000.000000,485106.093750,76878
2016-12-01,640000.000000,654000.000000,625000.000000,647000.000000,492721.625000,75246
2017-01-01,647000.000000,657000.000000,631000.000000,648000.000000,500372.562500,57177
2017-02-01,646000.000000,653000.000000,617000.000000,628000.000000,484928.906250,58587
2017-03-01,632000.000000,635000.000000,606000.000000,609000.000000,470257.531250,66506
2017-04-01,610000.000000,624000.000000,593000.000000,593000.000000,457902.656250,57744
2017-05-01,597000.000000,623000.000000,583000.000000,590000.000000,455586.156250,71160
2017-06-01,586000.000000,606000.000000,571000.000000,574000.000000,443231.281250,84887
2017-07-01,575000.000000,600000.000000,549000.000000,595000.000000,466680.156250,79276
2017-08-01,593000.000000,596000.000000,570000.000000,585000.000000,458836.750000,58720
2017-09-01,583000.000000,586000.000000,554000.000000,561000.000000,440012.812500,66575
2017-10-01,558000.000000,561000.000000,535000.000000,548000.000000,429816.375000,67798
2017-11-01,548000.000000,582000.000000,532000.000000,563000.000000,441581.406250,83318
2017-12-01,567000.000000,569000.000000,549000.000000,551000.000000,432169.343750,68564
2018-01-01,551000.000000,592000.000000,547000.000000,585000.000000,466659.000000,74288
