MAS: Financial Database - Domestic Interest Rates,,,,
,,,,
Domestic Interest Rates (Daily),,,,
Jan 1990 to Aug 2024,,,,
,,,,
,,,,
End of Period / SORA Value Date,,,Interbank Overnight,SF Deposit Rate
,,13,3.5,-
,,15,2.25,-
,,16,3.5,-
,,17,4,-
,,18,5.5,-
,,19,4,-
,,20,3,-
,,22,4.25,-
,,23,5,-
,,24,3.5,-
,,25,2.75,-
,,26,5,-
,,27,4.88,-
,,29,4.5,-
,,30,4,-
,,31,4.5,-
,Sep,01,4.13,-
,,02,4.25,-
,,03,4.25,-
,,05,4.5,-
,,06,1,-
,,07,0.5,-
,,08,0.25,-
,,09,4.75,-
,,10,4,-
,,12,0.75,-
,,13,0.13,-
,,14,0.13,-
,,15,0,-
,,16,2,-
,,17,1,-
,,19,0.5,-
,,20,1.25,-
,,21,0.5,-
,,22,0.75,-
,,23,2,-
,,24,1.5,-
,,26,2.63,-
,,27,0.75,-
,,28,1.5,-
,,29,0.75,-
,,30,2.75,-
,Oct,01,2.25,-
,,03,3,-
,,04,3,-
,,05,1,-
,,06,0.5,-
,,07,3.13,-
,,08,2.75,-
,,10,2,-
,,11,0,-
,,12,0.88,-
,,13,0.75,-
,,14,2,-
,,15,0.88,-
,,17,1.75,-
,,18,3.5,-
,,19,2.75,-
,,20,4,-
,,21,3,-
,,22,2.75,-
,,24,1,-
,,25,1.25,-
,,26,2.13,-
,,27,3,-
,,28,4,-
,,29,3.75,-
,,31,3,-
,Nov,01,3.38,-
,,03,3,-
,,04,4.25,-
,,05,3.75,-
,,07,2.75,-
,,08,3,-
,,09,3.5,-
,,10,3.5,-
,,11,4,-
,,12,4.13,-
,,14,4,-
,,15,4,-
,,16,5,-
,,17,5.75,-
,,18,4.5,-
,,19,5,-
,,21,3.5,-
,,22,4,-
,,23,4,-
,,24,4,-
,,25,5,-
,,26,4.25,-
,,28,4.25,-
,,29,4.75,-
,,30,0.75,-
,Dec,01,2.25,-
,,02,2,-
,,03,2,-
,,05,0.25,-
,,06,0.25,-
,,07,0.25,-
,,08,1,-
,,09,2,-
,,10,1.25,-
,,12,1.25,-
,,13,1.25,-
,,14,1.25,-
,,15,2.13,-
,,16,2.13,-
,,17,2.13,-
,,19,1,-
,,20,1,-
,,21,2.5,-
,,22,2.75,-
,,23,3.25,-
,,24,3.25,-
,,27,1,-
,,28,0.25,-
,,29,0.5,-
,,30,3.25,-
,,31,2.25,-
1995,Jan,03,1.25,-
,,04,0.25,-
,,05,0.5,-
,,06,0.5,-
,,07,1,-
,,09,0.25,-
,,10,0.06,-
,,11,0,-
,,12,0,-
,,13,0.13,-
,,14,0.5,-
,,16,2.5,-
,,17,0,-
,,18,0,-
,,19,0.5,-
,,20,0.5,-
,,21,1,-
,,23,0.5,-
,,24,0.25,-
,,25,0,-
,,26,3,-
,,27,1,-
,,28,2,-
,,30,3.5,-
,Feb,02,1,-
,,03,2.25,-
,,04,2.38,-
,,06,2.38,-
,,07,2.38,-
,,08,1.5,-
,,09,0.88,-
,,10,2.25,-
,,11,2,-
,,13,0.13,-
,,14,1.75,-
,,15,0.75,-
,,16,1.63,-
,,17,3,-
,,18,1.88,-
,,20,1.5,-
,,21,2,-
,,22,3,-
,,23,2.88,-
,,24,3,-
,,25,3.25,-
,,27,5,-
,,28,3.25,-
,Mar,01,3.25,-
,,02,4.13,-
,,04,4,-
,,06,2.5,-
,,07,2.38,-
,,08,0.13,-
,,09,0,-
,,10,1.63,-
,,11,2.25,-
,,13,1.5,-
,,14,2,-
,,15,1.25,-
,,16,0.38,-
,,17,1.38,-
,,18,1.75,-
,,20,1.5,-
,,21,1.75,-
,,22,1.25,-
,,23,1.63,-
,,24,2.25,-
,,25,2.63,-
,,27,2.75,-
,,28,2.75,-
,,29,3.5,-
,,30,3.13,-
,,31,5,-
,Apr,01,4.75,-
,,03,4.25,-
,,04,5.25,-
,,05,4.25,-
,,06,3.5,-
,,07,5.13,-
,,08,4.75,-
,,10,0,-
,,11,0.13,-
,,12,0.88,-
,,13,2,-
,,15,1.75,-
,,17,0,-
,,18,-0.13,-
,,19,0,-
,,20,0.06,-
,,21,1.5,-
,,22,1.25,-
,,24,0.13,-
,,25,0.5,-
,,26,0.25,-
,,27,0.75,-
,,28,1.25,-
,,29,1.75,-
,May,02,1.5,-
,,03,1.25,-
,,04,0.25,-
,,05,1.13,-
,,06,1,-
,,08,0,-
,,09,0,-
,,11,0,-
,,12,1,-
,,13,0.75,-
,,16,0.38,-
,,17,0,-
,,18,0.13,-
,,19,0.13,-
,,20,0.13,-
,,22,0.13,-
,,23,0,-
,,24,0.06,-
,,25,0.06,-
,,26,0.06,-
,,27,0.06,-
,,29,0.5,-
,,30,1.13,-
,,31,1,-
,Jun,01,2,-
,,02,0.5,-
,,03,0.75,-
,,05,0.5,-
,,06,0.88,-
,,07,1.25,-
,,08,2.5,-
,,09,1.75,-
,,10,1.63,-
,,12,0.75,-
,,13,0.25,-
,,14,0.63,-
,,15,0.75,-
,,16,1.25,-
,,17,1.63,-
,,19,1.88,-
,,20,1.88,-
,,21,1.63,-
,,22,1.75,-
,,23,3.25,-
,,24,1.5,-
,,26,2.5,-
,,27,2.63,-
,,28,3.75,-
,,29,3.5,-
,,30,4.5,-
,Jul,01,2.75,-
,,03,4,-
,,04,4.5,-
,,05,4.13,-
,,06,4,-
,,07,4.5,-
,,08,4.5,-
,,10,6,-
,,11,4.5,-
,,12,3.5,-
,,13,4.25,-
,,14,4.5,-
,,15,4.88,-
,,17,4.88,-
,,18,4,-
,,19,4.25,-
,,20,4.13,-
,,21,4.5,-
,,22,4.75,-
,,24,3.25,-
,,25,2.38,-
,,26,2.88,-
,,27,3,-
,,28,4,-
,,29,3.5,-
,,31,3.75,-
,Aug,01,3.5,-
,,02,3.63,-
,,03,3.38,-
,,04,4,-
,,05,3.63,-
,,07,3.5,-
,,08,3,-
,,10,2.13,-
,,11,3.13,-
,,12,3,-
,,14,0.75,-
,,15,1,-
,,16,0.5,-
,,17,1,-
,,18,3.25,-
,,19,3,-
,,21,2,-
,,22,2.5,-
,,23,2.5,-
,,24,2.5,-
,,25,3,-
,,26,2.25,-
,,28,2.5,-
,,29,2,-
,,30,2.13,-
,,31,2.5,-
,Sep,01,3.13,-
,,02,2.38,-
,,04,2.75,-
,,05,2,-
,,06,2,-
,,07,3,-
,,08,3.5,-
,,09,2.25,-
,,11,1.25,-
,,12,1.25,-
,,13,2.38,-
,,14,2.75,-
,,15,2.75,-
,,16,2.75,-
,,18,2.75,-
,,19,2,-
,,20,1.63,-
,,21,1.75,-
,,22,2.5,-
,,23,2,-
,,25,1.88,-
,,26,2,-
,,27,1.75,-
,,28,2,-
,,29,3.75,-
,,30,3.5,-
,Oct,02,3.25,-
,,03,3,-
,,04,3.25,-
,,05,1,-
,,06,2.88,-
,,07,2.5,-
,,09,6.25,-
,,10,3.88,-
,,11,2.25,-
,,12,2.5,-
,,13,3.25,-
,,14,3,-
,,16,3,-
,,17,3,-
,,18,3,-
,,19,3.38,-
,,20,3,-
,,21,2.75,-
,,24,1.75,-
,,25,1.5,-
,,26,2.13,-
,,27,3.25,-
,,28,2.75,-
,,30,2.5,-
,,31,2.25,-
,Nov,01,2.38,-
,,02,2.5,-
,,03,3.25,-
,,04,2.38,-
,,06,2.75,-
,,07,2.5,-
,,08,2.63,-
,,09,2.25,-
,,10,2.75,-
,,11,2.75,-
,,13,2.25,-
,,14,2.38,-
,,15,1.25,-
,,16,1.5,-
,,17,2,-
,,18,2,-
,,20,1.5,-
,,21,1.75,-
,,22,2,-
,,23,2,-
,,24,3,-
,,25,3.13,-
,,27,3,-
,,28,1,-
,,29,1.25,-
,,30,1.5,-
,Dec,01,2.5,-
,,02,2.5,-
,,04,1.25,-
,,05,1.5,-
,,06,1.13,-
,,07,1.38,-
,,08,2.38,-
,,09,2.13,-
,,11,1.75,-
,,12,1.5,-
,,13,1.25,-
,,14,1.5,-
,,15,3.25,-
,,16,3,-
,,18,4,-
,,19,2.63,-
,,20,2.13,-
,,21,1.5,-
,,22,2.75,-
,,23,2.63,-
,,26,1.5,-
,,27,1,-
,,28,2.25,-
,,29,3.5,-
,,30,2.75,-
1996,Jan,02,2.25,-
,,03,2.38,-
,,04,2.38,-
,,05,3,-
,,06,2.88,-
,,08,2.88,-
,,09,3,-
,,10,2.75,-
,,11,2.88,-
,,12,3.5,-
,,13,3,-
,,15,3.13,-
,,16,3.13,-
,,17,3,-
,,18,3.25,-
,,19,3.13,-
,,20,3.25,-
,,22,2.25,-
,,23,2.13,-
,,24,2.25,-
,,25,2.25,-
,,26,2.5,-
,,27,2.25,-
,,29,1.88,-
,,30,2.38,-
,,31,1.13,-
,Feb,01,1.25,-
,,02,1.25,-
,,03,0.5,-
,,05,0.38,-
,,06,0.25,-
,,07,0.38,-
,,08,0.13,-
,,09,0.63,-
,,10,0.75,-
,,12,0.25,-
,,13,1.38,-
,,14,1.5,-
,,15,4.25,-
,,16,3.38,-
,,17,2.75,-
,,22,0.25,-
,,23,1.75,-
,,24,1.63,-
,,26,1.13,-
,,27,1.13,-
,,28,1.5,-
,,29,0.06,-
,Mar,01,3,-
,,02,2.25,-
,,04,3,-
,,05,2.13,-
,,06,1.63,-
,,07,1.38,-
,,08,2.25,-
,,09,1.5,-
,,11,1.63,-
,,12,1.5,-
,,13,2,-
,,14,2,-
,,15,2.75,-
,,16,2.5,-
,,18,2.25,-
,,19,2.75,-
,,20,2.25,-
,,21,2,-
,,22,2.5,-
,,23,2.25,-
,,25,2.13,-
,,26,0.38,-
,,27,0.63,-
,,28,1.25,-
,,29,2,-
,,30,2.38,-
,Apr,01,1.63,-
,,02,0.75,-
,,03,1.63,-
,,04,2.5,-
,,06,2.13,-
,,08,1.5,-
,,09,0.5,-
,,10,0.5,-
,,11,1.13,-
,,12,2.38,-
,,13,2.38,-
,,15,2,-
,,16,2.38,-
,,17,2.13,-
,,18,2,-
,,19,2.5,-
,,20,2.5,-
,,22,2.5,-
,,23,2.38,-
,,24,2.5,-
,,25,2.5,-
,,26,3.63,-
,,27,3.5,-
,,30,2.88,-
,May,02,2.88,-
,,03,3.13,-
,,04,2.88,-
,,06,2.5,-
,,07,2,-
,,08,2.5,-
,,09,2.63,-
,,10,3,-
,,11,2.38,-
,,13,2.75,-
,,14,3,-
,,15,2.75,-
,,16,2,-
,,17,2.75,-
,,18,2.63,-
,,20,2.25,-
,,21,2.25,-
,,22,2.5,-
,,23,2.63,-
,,24,3.13,-
,,25,3,-
,,27,2.75,-
,,28,2.63,-
,,29,2.88,-
,,30,2.88,-
,Jun,01,2.5,-
,,03,2.5,-
,,04,2.88,-
,,05,2.75,-
,,06,2.88,-
,,07,3,-
,,08,2.75,-
,,10,2.75,-
,,11,2.63,-
,,12,2.5,-
,,13,2.75,-
,,14,2.75,-
,,15,2.75,-
,,17,2.75,-
,,18,2.69,-
,,19,2.38,-
,,20,3,-
,,21,3,-
,,22,2.88,-
,,24,2.63,-
,,25,2.75,-
,,26,2.81,-
,,27,3,-
,,28,3.88,-
,,29,3,-
,Jul,01,2.75,-
,,02,2.88,-
,,03,3,-
,,04,2.88,-
,,05,3.13,-
,,06,2.5,-
,,08,2.38,-
,,09,2.88,-
,,10,2.75,-
,,11,3.5,-
,,12,3.75,-
,,13,4,-
,,15,3.5,-
,,16,3.25,-
,,17,3.25,-
,,18,3.63,-
,,19,3.38,-
,,20,3.5,-
,,22,3.38,-
,,23,3.25,-
,,24,3.5,-
,,25,3.5,-
,,26,3.75,-
,,27,3.5,-
,,29,3.63,-
,,30,3.63,-
,,31,3.75,-
,Aug,01,3.5,-
,,02,3.5,-
,,03,3.63,-
,,05,3.25,-
,,06,3.13,-
,,07,3.13,-
,,08,3.38,-
,,10,2.75,-
,,12,3.75,-
,,13,3,-
,,14,3.13,-
,,15,3.25,-
,,16,3.88,-
,,17,3.38,-
,,19,3.88,-
,,20,3.75,-
,,21,3.63,-
,,22,3.63,-
,,23,3.75,-
,,24,3.5,-
,,26,3.38,-
,,27,3.5,-
,,28,3.56,-
,,29,3.5,-
,,30,3.63,-
,,31,3.5,-
,Sep,02,2.63,-
,,03,2.75,-
,,04,2.63,-
,,05,2.75,-
,,06,2.88,-
,,07,2.75,-
,,09,2.88,-
,,10,2.5,-
,,11,2.63,-
,,12,2.25,-
,,13,2.63,-
,,14,2.63,-
,,16,2.88,-
,,17,2.75,-
,,18,2.88,-
,,19,2.88,-
,,20,3.25,-
,,21,3,-
,,23,3,-
,,24,3.13,-
,,25,3.25,-
,,26,3.38,-
,,27,3.63,-
,,28,3.63,-
,,30,3,-
,Oct,01,2.88,-
,,02,2.88,-
,,03,3,-
,,04,3.31,-
,,05,3.31,-
,,07,3.63,-
,,08,3.38,-
,,09,3,-
,,10,3.38,-
,,11,3.5,-
,,12,3.25,-
,,14,3.38,-
,,15,3.38,-
,,16,3.38,-
,,17,3.38,-
,,18,3.63,-
,,19,3.75,-
,,21,3.5,-
,,22,3.5,-
,,23,3.5,-
,,24,3.38,-
,,25,3.63,-
,,26,3.38,-
,,28,3.5,-
,,29,3.44,-
,,30,3.44,-
,,31,3.5,-
,Nov,01,3.56,-
,,02,3.56,-
,,04,3.44,-
,,05,3.25,-
,,06,3.25,-
,,07,3.5,-
,,08,3.63,-
,,09,3.5,-
,,12,3.5,-
,,13,3.38,-
,,14,3.38,-
,,15,3.63,-
,,16,3.38,-
,,18,3.5,-
,,19,3.56,-
,,20,3.56,-
,,21,3.63,-
,,22,3.75,-
,,23,3.5,-
,,25,3.63,-
,,26,3.5,-
,,27,3.56,-
,,28,3.63,-
,,29,3.75,-
,,30,3.75,-
,Dec,02,3.63,-
,,03,3.56,-
,,04,3.44,-
,,05,3.5,-
,,06,3.38,-
,,07,3.38,-
,,09,3.25,-
,,10,3,-
,,11,2.63,-
,,12,2.56,-
,,13,2.63,-
,,14,2.38,-
,,16,3.13,-
,,17,2.5,-
,,18,3,-
,,19,3.06,-
,,20,2.25,-
,,21,2.13,-
,,23,2.38,-
,,24,1,-
,,26,0.63,-
,,27,2,-
,,28,2.25,-
,,30,3.63,-
,,31,2.5,-
1997,Jan,03,3,-
,,04,3,-
,,06,3.5,-
,,07,3.38,-
,,08,3,-
,,09,2.63,-
,,10,3.38,-
,,11,3.13,-
,,13,2.75,-
,,14,2.56,-
,,15,2.25,-
,,16,2.75,-
,,17,2.5,-
,,18,2.5,-
,,20,2.56,-
,,21,2.5,-
,,22,2,-
,,23,2.13,-
,,24,2.25,-
,,25,1.88,-
,,27,2,-
,,28,1.75,-
,,29,0.75,-
,,30,0.5,-
,,31,1.25,-
,Feb,01,1.31,-
,,03,1.5,-
,,04,1.5,-
,,05,1.38,-
,,06,0.5,-
,,11,0.5,-
,,12,0.75,-
,,13,3,-
,,14,2.75,-
,,15,2.5,-
,,17,3,-
,,18,2.75,-
,,19,2.88,-
,,20,3.13,-
,,21,3.38,-
,,22,3.25,-
,,24,2.75,-
,,25,2.63,-
,,26,2.88,-
,,27,3.13,-
,,28,3.38,-
,Mar,01,3.25,-
,,03,3.25,-
,,04,2.63,-
,,05,2.88,-
,,06,2.75,-
,,07,3.25,-
,,08,3.38,-
,,10,3.25,-
,,11,2.88,-
,,12,3,-
,,13,3,-
,,14,3.38,-
,,15,3.5,-
,,17,3.63,-
,,18,3.38,-
,,19,3.38,-
,,20,3.5,-
,,21,3.75,-
,,22,3.25,-
,,24,3.25,-
,,25,3.25,-
,,26,3.63,-
,,27,3.88,-
,,29,4,-
,,31,3.38,-
,Apr,01,3.13,-
,,02,3,-
,,03,3.38,-
,,04,3.5,-
,,05,3.5,-
,,07,3.56,-
,,08,3.5,-
,,09,3.5,-
,,10,3.38,-
,,11,3.38,-
,,12,3.25,-
,,14,3.31,-
,,15,3.38,-
,,16,3.38,-
,,17,3.63,-
,,19,3.25,-
,,21,3.75,-
,,22,3.5,-
,,23,3.63,-
,,24,3.38,-
,,25,3.5,-
,,26,3.5,-
,,28,3.38,-
,,29,3.5,-
,,30,3.25,-
,May,02,3.63,-
,,03,3.38,-
,,05,3.75,-
,,06,3.5,-
,,07,3.5,-
,,08,3.75,-
,,09,3.63,-
,,10,3.63,-
,,12,3.75,-
,,13,3.5,-
,,14,3.63,-
,,15,3.69,-
,,16,3.25,-
,,17,3.25,-
,,19,3.88,-
,,20,4.13,-
,,22,4,-
,,23,4.5,-
,,24,4.5,-
,,26,4,-
,,27,4,-
,,28,4,-
,,29,4.25,-
,,30,4,-
,,31,3.88,-
,Jun,02,3.75,-
,,03,3.38,-
,,04,3,-
,,05,2.88,-
,,06,3.13,-
,,07,3.13,-
,,09,2.75,-
,,10,2.75,-
,,11,3.38,-
,,12,3,-
,,13,3.5,-
,,14,3.13,-
,,16,3.25,-
,,17,3.44,-
,,18,3.63,-
,,19,3.13,-
,,20,3.25,-
,,21,3.13,-
,,23,3.38,-
,,24,3.25,-
,,25,3.31,-
,,26,3.38,-
,,27,2.75,-
,,28,2.75,-
,,30,3.44,-
,Jul,01,3.38,-
,,02,2.5,-
,,03,2,-
,,04,2,-
,,05,1.63,-
,,07,2.88,-
,,08,2.25,-
,,09,2.13,-
,,10,1.13,-
,,11,1.75,-
,,12,1.88,-
,,14,2,-
,,15,2.31,-
,,16,2.63,-
,,17,3.38,-
,,18,7,-
,,19,3.25,-
,,21,4.5,-
,,22,3.75,-
,,23,3.88,-
,,24,3.88,-
,,25,4.38,-
,,26,4,-
,,28,3.5,-
,,29,2,-
,,30,2,-
,,31,2,-
,Aug,01,2.75,-
,,02,2.25,-
,,04,2.13,-
,,05,2,-
,,06,1.5,-
,,07,1.5,-
,,08,1.25,-
,,11,1,-
,,12,1.5,-
,,13,2,-
,,14,2.13,-
,,15,7,-
,,16,5,-
,,18,3.75,-
,,19,3.88,-
,,20,2.13,-
,,21,2.75,-
,,22,3.38,-
,,23,3,-
,,25,3.25,-
,,26,3.5,-
,,27,3.38,-
,,28,4,-
,,29,4,-
,,30,3.25,-
,Sep,01,1.5,-
,,02,1.75,-
,,03,0.88,-
,,04,1.75,-
,,05,2.5,-
,,06,2.25,-
,,08,8,-
,,09,3.13,-
,,10,3,-
,,11,3.5,-
,,12,4.25,-
,,13,3.38,-
,,15,3,-
,,16,2.5,-
,,17,2.63,-
,,18,2.63,-
,,19,3.13,-
,,20,3,-
,,22,3.25,-
,,23,2.25,-
,,24,2.25,-
,,25,2.75,-
,,26,3.13,-
,,27,1.75,-
,,29,2.75,-
,,30,2.75,-
,Oct,01,2,-
,,02,1.25,-
,,03,1.25,-
,,04,1,-
,,06,1.13,-
,,07,2,-
,,08,2.5,-
,,09,3.5,-
,,10,3.63,-
,,11,2,-
,,13,2,-
,,14,1.63,-
,,15,1.5,-
,,16,1.88,-
,,17,1.75,-
,,18,1.5,-
,,20,20,-
,,21,3.25,-
,,22,7,-
,,23,5,-
,,24,10,-
,,25,5,-
,,27,10,-
,,28,5,-
,,29,4,-
,,31,3.5,-
,Nov,01,3.5,-
,,03,2.63,-
,,04,3.25,-
,,05,3.25,-
,,06,3,-
,,07,2,-
,,08,1,-
,,10,0.25,-
,,11,0.5,-
,,12,0.5,-
,,13,1,-
,,14,0.25,-
,,15,0.13,-
,,17,0.5,-
,,18,3,-
,,19,5,-
,,20,4.25,-
,,21,4,-
,,22,2.5,-
,,24,4.75,-
,,25,5.75,-
,,26,4.25,-
,,27,4.5,-
,,28,5.75,-
,,29,5.5,-
,Dec,01,4.75,-
,,02,4.25,-
,,03,4.75,-
,,04,4.88,-
,,05,6.25,-
,,06,5,-
,,08,5,-
,,09,4.88,-
,,10,3.25,-
,,11,4.5,-
,,12,4.5,-
,,13,4.63,-
,,15,5.25,-
,,16,0,-
,,17,5.75,-
,,18,4,-
,,19,5.5,-
,,20,5,-
,,22,5,-
,,23,0.5,-
,,24,0.13,-
,,26,0.13,-
,,27,0.25,-
,,29,0.13,-
,,30,0.5,-
,,31,0.13,-
1998,Jan,02,1.5,-
,,03,1.5,-
,,05,1,-
,,06,5,-
,,07,8,-
,,08,20,-
,,09,5,-
,,10,3.5,-
,,12,5,-
,,13,1,-
,,14,0.25,-
,,15,1,-
,,16,2,-
,,17,0.25,-
,,19,1,-
,,20,0.13,-
,,21,0.75,-
,,22,0.5,-
,,23,0.25,-
,,24,0.25,-
,,26,0.06,-
,,27,0.75,-
,,31,0.63,-
,Feb,02,1,-
,,03,1,-
,,04,2,-
,,05,1.5,-
,,06,1.75,-
,,07,1,-
,,09,1.75,-
,,10,0.06,-
,,11,0.06,-
,,12,0.25,-
,,13,0.38,-
,,14,0.5,-
,,16,1.75,-
,,17,0.5,-
,,18,0.75,-
,,19,1,-
,,20,0.75,-
,,21,0.13,-
,,23,0.13,-
,,24,0.38,-
,,25,1.5,-
,,26,1.5,-
,,27,0.5,-
,,28,0.25,-
,Mar,02,0.5,-
,,03,1,-
,,04,0.5,-
,,05,1.25,-
,,06,1.25,-
,,07,0.13,-
,,09,0.5,-
,,10,0.5,-
,,11,0.13,-
,,12,0.63,-
,,13,0.25,-
,,14,0.5,-
,,16,1,-
,,17,3.5,-
,,18,1.5,-
,,19,3,-
,,20,2.25,-
,,21,1,-
,,23,2.75,-
,,24,3.5,-
,,25,2.5,-
,,26,2.75,-
,,27,3.5,-
,,28,2.75,-
,,30,3.25,-
,,31,3,-
,Apr,01,3.63,-
,,02,4.5,-
,,03,4,-
,,04,2.25,-
,,06,5,-
,,08,4.25,-
,,09,4.5,-
,,11,3,-
,,13,3.5,-
,,14,4,-
,,15,3.75,-
,,16,4.13,-
,,17,4.38,-
,,18,3,-
,,20,4.75,-
,,21,4.5,-
,,22,4.25,-
,,23,4,-
,,24,4.75,-
,,25,4.5,-
,,27,4.75,-
,,28,4.75,-
,,29,4.88,-
,,30,4.88,-
,May,02,4.5,-
,,04,4.63,-
,,05,3.5,-
,,06,2.5,-
,,07,3.25,-
,,08,4.25,-
,,09,4,-
,,12,4.63,-
,,13,4.25,-
,,14,4.25,-
,,15,4.5,-
,,16,3,-
,,18,4.75,-
,,19,3.25,-
,,20,3.25,-
,,21,3,-
,,22,2.5,-
,,23,2.5,-
,,25,1.75,-
,,26,1,-
,,27,0.75,-
,,28,0.75,-
,,29,1,-
,,30,0.13,-
,Jun,01,0.5,-
,,02,0.5,-
,,03,0.25,-
,,04,0.63,-
,,05,0.5,-
,,06,0.25,-
,,08,0.75,-
,,09,1,-
,,10,1.75,-
,,11,4.25,-
,,12,9,-
,,13,5.5,-
,,15,12,-
,,16,10,-
,,17,6.5,-
,,18,5.5,-
,,19,6.5,-
,,20,6,-
,,22,6.75,-
,,23,0.38,-
,,24,0.13,-
,,25,0.25,-
,,26,0.5,-
,,27,0.5,-
,,29,1,-
,,30,0.25,-
,Jul,01,2,-
,,02,0.13,-
,,03,10,-
,,04,0.5,-
,,06,2,-
,,07,0.25,-
,,08,0,-
,,09,0,-
,,10,0.13,-
,,11,0,-
,,13,0.06,-
,,14,0.13,-
,,15,0,-
,,16,0,-
,,17,0.13,-
,,18,0.13,-
,,20,0.25,-
,,21,0.13,-
,,22,0.13,-
,,23,0.25,-
,,24,0.5,-
,,25,0.13,-
,,27,0.13,-
,,28,0.13,-
,,29,0.13,-
,,30,0.25,-
,,31,0.13,-
,Aug,01,0.13,-
,,03,0.13,-
,,04,0.13,-
,,05,0.13,-
,,06,0.13,-
,,07,1,-
,,08,0.13,-
,,11,0.03,-
,,12,0.13,-
,,13,0.13,-
,,14,0.5,-
,,15,0.13,-
,,17,0.13,-
,,18,0.13,-
,,19,0.13,-
,,20,3.5,-
,,21,3.25,-
,,22,2,-
,,24,0.13,-
,,25,0.5,-
,,26,3.5,-
,,27,4,-
,,28,4.5,-
,,29,1,-
,,31,0.13,-
,Sep,01,0.13,-
,,02,0.13,-
,,03,0.25,-
,,04,1,-
,,05,0.5,-
,,07,0.13,-
,,08,0.5,-
,,09,0.5,-
,,10,1,-
,,11,4.5,-
,,12,0.5,-
,,14,0.25,-
,,15,0.13,-
,,16,4.5,-
,,17,4.5,-
,,18,5,-
,,19,0.25,-
,,21,0.5,-
,,22,0.5,-
,,23,1.5,-
,,24,2,-
,,25,5.5,-
,,26,0.5,-
,,28,3,-
,,29,1,-
,,30,5,-
,Oct,01,0.13,-
,,02,4.75,-
,,03,0.25,-
,,05,0.13,-
,,06,0.13,-
,,07,0.19,-
,,08,0.13,-
,,09,0.75,-
,,10,0.13,-
,,12,0.13,-
,,13,0.13,-
,,14,0.13,-
,,15,0.13,-
,,16,0.13,-
,,17,0.13,-
,,20,0.13,-
,,21,0.13,-
,,22,0.13,-
,,23,0.13,-
,,24,0.13,-
,,26,0.5,-
,,27,0.13,-
,,28,0.06,-
,,29,0.13,-
,,30,0.75,-
,,31,0.5,-
,Nov,02,0.13,-
,,03,0.25,-
,,04,0.13,-
,,05,1,-
,,06,3.5,-
,,07,0.13,-
,,09,0.13,-
,,10,0.13,-
,,11,0.13,-
,,12,0.13,-
,,13,0.25,-
,,14,0.25,-
,,16,0.13,-
,,17,0.75,-
,,18,0.75,-
,,19,0.13,-
,,20,1,-
,,21,0.06,-
,,23,0.06,-
,,24,0.13,-
,,25,0.13,-
,,26,2,-
,,27,4,-
,,28,2,-
,,30,0.13,-
,Dec,01,0.25,-
,,02,0.13,-
,,03,0.06,-
,,04,0.13,-
,,05,0.13,-
,,07,0.13,-
,,08,0.13,-
,,09,0.13,-
,,10,0.13,-
,,11,0.13,-
,,12,0.13,-
,,14,0.5,-
,,15,0.25,-
,,16,0.06,-
,,17,0.25,-
,,18,0.13,-
,,19,0.13,-
,,21,0.13,-
,,22,0.13,-
,,23,0.13,-
,,24,0.13,-
,,26,0.13,-
,,28,0.25,-
,,29,0.5,-
,,30,0.13,-
,,31,3,-
1999,Jan,02,1.5,-
,,04,0.06,-
,,05,0.13,-
,,06,0.13,-
,,07,1.5,-
,,08,0.5,-
,,09,0.13,-
,,11,0.13,-
,,12,0.13,-
,,13,0.13,-
,,14,0.13,-
,,15,0.13,-
,,16,0.13,-
,,18,0.13,-
,,20,0.06,-
,,21,0.03,-
,,22,0.13,-
,,23,0,-
,,25,0.13,-
,,26,0.13,-
,,27,0.06,-
,,28,0.13,-
,,29,0.13,-
,,30,0.75,-
,Feb,01,0.06,-
,,02,0.13,-
,,03,0,-
,,04,0,-
,,05,1.5,-
,,06,0.5,-
,,08,0.13,-
,,09,0.13,-
,,10,0.13,-
,,11,0.06,-
,,12,0.5,-
,,13,0.5,-
,,15,1,-
,,18,2,-
,,19,0.75,-
,,20,0.5,-
,,22,0.13,-
,,23,0.13,-
,,24,0.06,-
,,25,0.13,-
,,26,1.88,-
,,27,0.13,-
,Mar,01,0.5,-
,,02,0.13,-
,,03,0.13,-
,,04,0.13,-
,,05,0.13,-
,,06,0.13,-
,,08,0.13,-
,,09,0.13,-
,,10,0.13,-
,,11,0.13,-
,,12,2.5,-
,,13,0.25,-
,,15,0.25,-
,,16,0.38,-
,,17,0.13,-
,,18,1,-
,,19,1.88,-
,,20,0.13,-
,,22,1,-
,,23,0.13,-
,,24,0.13,-
,,25,0.25,-
,,26,2,-
,,27,0.25,-
,,30,0,-
,,31,0.06,-
,Apr,01,0.25,-
,,03,0.13,-
,,05,0.06,-
,,06,1.25,-
,,07,0.5,-
,,08,0.25,-
,,09,0.25,-
,,10,0.13,-
,,12,0.13,-
,,13,0.25,-
,,14,0.13,-
,,15,0.75,-
,,16,0.75,-
,,17,0.25,-
,,19,0.06,-
,,20,0.06,-
,,21,0.06,-
,,22,0.25,-
,,23,0.5,-
,,24,0.13,-
,,26,0.06,-
,,27,0.06,-
,,28,0.75,-
,,29,0.38,-
,,30,0.25,-
,May,03,0.13,-
,,04,1.25,-
,,05,0.5,-
,,06,0.25,-
,,07,1.5,-
